Town,Latitude,Longitude,Population
Bartons Creek,35.9506642,-78.6455475,22055
Buckhorn,35.6551465,-78.9401383,3251
Cary,35.7913574,-78.7816219,74074
Cedar Fork ,35.861111,-78.814722,40841
Holly Springs,35.636988,-78.860912,33071
House Creek ,35.866778,-78.66824,57439
Leesville, 35.914125, -78.713608, 41850
Little River, 35.843485, -78.315941, 12528
Marks Creek, 35.809344, -78.406973, 21932
Meredith, 35.811332, -78.707938, 13926
Middle Creek,35.585306, -78.77029, 44136
Neuse, 35.869952, -78.588795, 73617
New Light,36.012532, -78.597331, 7591
Panther Branch, 35.627506, -78.645548,  24019
Raleigh, 35.766667, -78.633333, 117838
St. Mary's , 35.697611, -78.588795, 58484
Saint Matthew's , 35.818162, -78.497925, 65731
Swift Creek, 35.710555, -78.724947, 50225
Wake Forest, 35.94723, -78.497925,  65491
White Oak,35.736724, -78.781006, 72894 
